current_url,title,type,category,status,incoming_internal_links,outgoing_internal_links,canonical,sitemap_status,planned_action
/compare/guides/airtable-vs-excel/,Airtable vs Excel: Which Should You Use?,article,Comparisons,live (200),3,4,https://griddojo.com/compare/guides/airtable-vs-excel/,in sitemap,KEEP
/compare/guides/airtable-vs-google-sheets/,Airtable vs Google Sheets: Which Should You Use?,article,Comparisons,live (200),3,4,https://griddojo.com/compare/guides/airtable-vs-google-sheets/,in sitemap,KEEP
/compare/guides/apple-numbers-vs-excel/,Apple Numbers vs Excel: Which Should You Use?,article,Comparisons,live (200),0,4,https://griddojo.com/compare/guides/apple-numbers-vs-excel/,in sitemap,KEEP
/compare/guides/best-free-excel-alternatives/,6 Best Free Excel Alternatives (2026),article,Comparisons,live (200),6,4,https://griddojo.com/compare/guides/best-free-excel-alternatives/,in sitemap,CONSOLIDATE
/compare/guides/best-spreadsheet-software-small-business/,Best Spreadsheet Software for Small Business (2026),article,Comparisons,live (200),7,4,https://griddojo.com/compare/guides/best-spreadsheet-software-small-business/,in sitemap,IMPROVE
/excel/tutorials/how-to-make-a-chart-in-excel/,How to Make a Chart in Excel (Step by Step),article,Excel · Tutorials,live (200),3,3,https://griddojo.com/excel/tutorials/how-to-make-a-chart-in-excel/,in sitemap,KEEP
/excel/tutorials/how-to-use-conditional-formatting-in-excel/,How to Use Conditional Formatting in Excel,article,Excel · Tutorials,live (200),3,5,https://griddojo.com/excel/tutorials/how-to-use-conditional-formatting-in-excel/,in sitemap,KEEP
/excel/tutorials/how-to-use-countif-in-excel/,How to Use COUNTIF in Excel (with Examples),article,Excel · Tutorials,live (200),1,7,https://griddojo.com/excel/tutorials/how-to-use-countif-in-excel/,in sitemap,KEEP
/excel/fixes/how-to-fix-div-0-error-excel/,How to Fix the #DIV/0! Error in Excel,article,Excel · Fixes,live (200),3,4,https://griddojo.com/excel/fixes/how-to-fix-div-0-error-excel/,in sitemap,KEEP
/excel/tutorials/how-to-create-a-drop-down-list-in-excel/,How to Create a Drop-Down List in Excel,article,Excel · Tutorials,live (200),3,3,https://griddojo.com/excel/tutorials/how-to-create-a-drop-down-list-in-excel/,in sitemap,KEEP
/excel/tutorials/how-to-freeze-rows-and-columns-in-excel/,How to Freeze Rows and Columns in Excel,article,Excel · Tutorials,live (200),2,3,https://griddojo.com/excel/tutorials/how-to-freeze-rows-and-columns-in-excel/,in sitemap,KEEP
/excel/tutorials/how-to-use-if-function-in-excel/,How to Use the IF Function in Excel (with Examples),article,Excel · Tutorials,live (200),12,4,https://griddojo.com/excel/tutorials/how-to-use-if-function-in-excel/,in sitemap,IMPROVE
/excel/tutorials/how-to-use-index-match-in-excel/,How to Use INDEX MATCH in Excel (with Examples),article,Excel · Tutorials,live (200),2,5,https://griddojo.com/excel/tutorials/how-to-use-index-match-in-excel/,in sitemap,KEEP
/excel/fixes/how-to-fix-na-error-excel/,How to Fix the #N/A Error in Excel,article,Excel · Fixes,live (200),0,5,https://griddojo.com/excel/fixes/how-to-fix-na-error-excel/,in sitemap,KEEP
/excel/fixes/how-to-fix-name-error-excel/,How to Fix the #NAME? Error in Excel,article,Excel · Fixes,live (200),3,4,https://griddojo.com/excel/fixes/how-to-fix-name-error-excel/,in sitemap,KEEP
/excel/tutorials/how-to-make-a-pivot-table-in-excel/,How to Make a Pivot Table in Excel (Step by Step),article,Excel · Tutorials,live (200),9,4,https://griddojo.com/excel/tutorials/how-to-make-a-pivot-table-in-excel/,in sitemap,KEEP
/excel/fixes/how-to-fix-ref-error-excel/,How to Fix the #REF! Error in Excel,article,Excel · Fixes,live (200),5,4,https://griddojo.com/excel/fixes/how-to-fix-ref-error-excel/,in sitemap,KEEP
